"pathway_id","compound_id","compound_name"
"hsa04080","C06314","Lipoxin A4"
"hsa04080","C06865","Calcitonin"
"hsa04080","C11695","Anandamide"
"hsa04080","C12270","N-Acetylaspartylglutamate"
"hsa04080","C12271","N-Arachidonyldopamine"
"hsa04080","C12272","N-Oleoyldopamine"
"hsa04080","C13856","2-Arachidonoylglycerol"
"hsa04080","C15890","Endomorphin-1"
"hsa04080","C15891","Endomorphin-2"
"hsa04080","C15995","Bombesin"
"hsa04080","C16511","L-Homocysteic acid"
"hsa04080","C16512","Palmitoylethanolamide"
"hsa00380","C00024","Acetyl-CoA"
"hsa00380","C00078","L-Tryptophan"
"hsa00380","C00108","Anthranilate"
"hsa00380","C00322","2-Oxoadipate"
"hsa00380","C00328","L-Kynurenine"
"hsa00380","C00331","Indolepyruvate"
"hsa00380","C00332","Acetoacetyl-CoA"
"hsa00380","C00398","Tryptamine"
"hsa00380","C00463","Indole"
"hsa00380","C00527","Glutaryl-CoA"
"hsa00380","C00632","3-Hydroxyanthranilate"
"hsa00380","C00637","Indole-3-acetaldehyde"
"hsa00380","C00643","5-Hydroxy-L-tryptophan"
"hsa00380","C00780","Serotonin"
"hsa00380","C00877","Crotonoyl-CoA"
"hsa00380","C00954","Indole-3-acetate"
"hsa00380","C00955","Indole-3-ethanol"
"hsa00380","C00978","N-Acetylserotonin"
"hsa00380","C01111","7,8-Dihydroxykynurenate"
"hsa00380","C01144","(S)-3-Hydroxybutanoyl-CoA"
"hsa00380","C01249","7,8-Dihydro-7,8-dihydroxykynurenate"
"hsa00380","C01252","4-(2-Aminophenyl)-2,4-dioxobutanoate"
"hsa00380","C01598","Melatonin"
"hsa00380","C01717","4-Hydroxy-2-quinolinecarboxylic acid"
"hsa00380","C01987","2-Aminophenol"
"hsa00380","C02161","2-Aminophenoxazin-3-one"
"hsa00380","C02172","N-Acetylisatin"
"hsa00380","C02220","2-Aminomuconate"
"hsa00380","C02298","N-Acetylindoxyl"
"hsa00380","C02470","Xanthurenic acid"
"hsa00380","C02693","(Indol-3-yl)acetamide"
"hsa00380","C02700","L-Formylkynurenine"
"hsa00380","C02775","2,3-Dihydroxyindole"
"hsa00380","C02937","Indole-3-acetaldehyde oxime"
"hsa00380","C02938","3-Indoleacetonitrile"
"hsa00380","C03227","3-Hydroxy-L-kynurenine"
"hsa00380","C03230","(Indol-3-yl)glycolaldehyde"
"hsa00380","C03453","gamma-Oxalocrotonate"
"hsa00380","C03574","2-Formylaminobenzaldehyde"
"hsa00380","C03722","Quinolinate"
"hsa00380","C03824","2-Aminomuconate semialdehyde"
"hsa00380","C04409","2-Amino-3-carboxymuconate semialdehyde"
"hsa00380","C05634","5-Hydroxyindoleacetaldehyde"
"hsa00380","C05635","5-Hydroxyindoleacetate"
"hsa00380","C05636","3-Hydroxykynurenamine"
"hsa00380","C05637","4,8-Dihydroxyquinoline"
"hsa00380","C05638","5-Hydroxykynurenamine"
"hsa00380","C05639","4,6-Dihydroxyquinoline"
"hsa00380","C05640","Cinnavalininate"
